Marcela Morelo	Tambores Del Sur	Samba
Colonel Reyel	Celui	Samba
Leticia	Cafe Negro	Samba
La Madre Del Topo	Ven Bailalo	Samba
Diego Torres	Suenos	Samba
Arash feat. Rebecca	Mitarsam	Samba
Marcela Morelo	La Fuerza Del Engano	Samba
Belle Perez	Never Ever	Samba
Marcela Morelo	No me Lastimes	Samba
Wisin y Yandel	Noche De Entierro	Samba
Blue Angels	La Tuya	Samba
Jessy Matador	Allez! Ola! Ole!	Samba
Pachanga feat. Markez	Calienta (C.T. Verador Remix)	Samba
Blestyashie feat. Arash	Vostochnie Skazki	Samba
Philippe Lafontaine	Coeur De Loup	Samba
Arash	Suddenly (feat. Rebecca)	Samba
Juanes	Tres	Samba
Natalia Oreiro	Canto Canto	Samba
Dimples D	Sucker DJ	Samba
Army Of Lovers	Give my Life	Samba
Caligola	Forgive Forget	Cha Cha Cha
Jason Derulo	X	Cha Cha Cha
Marc Anthony	Tragedia	Cha Cha Cha
JoJo Effect	I Shouldn't I Wouldn't	Cha Cha Cha
Bruno Mars	Just the way you are	Cha Cha Cha
Sarah Connor	Cold As Ice	Cha Cha Cha
Madcon	Glow	Cha Cha Cha
Jay Sean	Do You Remember	Cha Cha Cha
Jochen Distelmeyer	Nur mit dir	Cha Cha Cha
Tal Bachman	She's So High	Cha Cha Cha
Lykke Li	I Follow Rivers	Cha Cha Cha
Lenny Kravitz	Stand	Cha Cha Cha
Paulina Rubio	Lo Hare Por Ti	Cha Cha Cha
Robyn	Dancing on my own	Cha Cha Cha
Ne-yo	Beautiful Monster	Cha Cha Cha
Sia	Clap your Hands	Cha Cha Cha
Marina And The Diamonds	Hollywood	Cha Cha Cha
Cascada	Pyromania	Cha Cha Cha
Leon Jackson	Creative	Cha Cha Cha
Nouvelle Vague	Metal	Cha Cha Cha
Madonna	Nothing Fails	Rumba
Federico Aubele	Pena	Rumba
OneRepublic	Good Life	Rumba
Michael Jackson	This is it	Rumba
Aaliyah Jones and Jackson Burke	Come As You Are	Rumba
The Mavericks	Something stupid	Rumba
Wilson Phillips	Hold on	Rumba
Orishas	Reina de la calle	Rumba
Justin Nozuka	After Tonight	Rumba
Alex Swings Oscar Sings!	La Vie En Rose	Rumba
Evanescence	Lost In Paradise	Rumba
Ana Belén	Nadie Sabe	Rumba
Bruce Springsteen	Nothing Man	Rumba
Paloma Faith	New York	Rumba
Raul Malo	De ti me olivare	Rumba
Shakira	Antologia	Rumba
Melanie C	Northern star	Rumba
Melanie Fiona	Give It To Me Right	Rumba
Pink	Don't let me get me	Rumba
Huecco	Mirando Al Cielo	Rumba
Dancelife	Un Paso Mas	Paso Doble
Calexico	Crystal Frontier	Paso Doble
Los Lobos & Antonio Banderas	Cancion del Mariachi	Paso Doble
Vio Friedmann	Something Happened	Paso Doble
Klaus Hallen	Paris Latino	Paso Doble
Klaus Hallen	Hava Nageela	Paso Doble
Imca Marina	Eviva Espana	Paso Doble
Georges Bizet	Les Toréadors	Paso Doble
Klaus Hallen	Bailando	Paso Doble
Orchestra Alec Medina	Camina Y Ven	Paso Doble
Giants Of Latin	Sol Y Sombra	Paso Doble
Vio Friedmann	La Copa De La Vida	Paso Doble
BBM	My Heart Will Go On	Paso Doble
Klaus Hallen	Amores Del Sur	Paso Doble
Dancelife	Torero	Paso Doble
Englebert	Don Quijote	Paso Doble
The Who	Pinball Wizard	Paso Doble
Ambros Seelos Tanzorchester	España Cani	Paso Doble
Bonnie Tyler	Faster Than The Speed Of The Night	Jive
Bobby Day	Little Bitty Pretty one	Jive
Jedward	Lipstick	Jive
Michael Jackson	Rockin' Robin	Jive
Lena Meyer-Landrut	Bee	Jive
Alexandra Burke	Broken Heels	Jive
Glashaus	Das Hier	Jive
The Other Ones	Another holiday	Jive
Thalia	24000 besos (24000 baci)	Jive
Alex Swings Oscar Sings!	Ding Dong The Witch Is Dead	Jive
The Silver Seas	Catch Yer Own Train	Jive
Inna Modja	Mister H	Jive
Asa	Be my man	Jive
Rox	I don't belive	Jive
Eric Saade	Manboy	Jive
Karl Schmidt Big Band	Hit The Road Jack	Jive
The Eagles	Get over it	Jive
La Roux	In for the kill	Jive
Alex Swings Oscar Sings!	Boom Boom Goes My Heart	Jive
The Veronicas	Untouched	Jive
Johanna Iivanainen	Luojani mun	Langsamer Walzer
Orchestra Alec Medina	I Belong To You	Langsamer Walzer
Maria Mena	Dear...	Langsamer Walzer
Joan Osborne	Break up to make up	Langsamer Walzer
Twins Band	After Winter	Langsamer Walzer
KT Tunstall	Through The Dark	Langsamer Walzer
Orchester Markus Schöffl	I Can't Live A Day Without You	Langsamer Walzer
Westlife	You Light Up My Life	Langsamer Walzer
Andy Williams	A Time For Us	Langsamer Walzer
Klaus Hallen	Together Hand in Hand	Langsamer Walzer
Sweetmouth	A prayer to St. Valentine	Langsamer Walzer
Joe Hisaishi	Waltz of Chihiro	Langsamer Walzer
Mike Oldfield	Daydream	Langsamer Walzer
Klaus Hallen feat. Toni Braxton	I don't want to	Langsamer Walzer
Premium Standard	Dawn over Desna	Langsamer Walzer
Orchester Markus Schöffl	Truly	Langsamer Walzer
Chris De Burgh	When Winter Comes	Langsamer Walzer
Hans Zimmer	Earth	Langsamer Walzer
Klaus Hallen	New York State Of Mind	Langsamer Walzer
Klaus Hallen	You don't bring me Flowers	Langsamer Walzer
Leticia	Tango Erotico	Tango
Count Dee's Dancesport Unlimited	Phantom of the Opera	Tango
Raffaella Carra	Lola Tango	Tango
Bandongo	Asi Se Baila El Tango	Tango
